Facility,Barrows,Dascomb,Fairchild,Kahn,Price
Meter name,Electricity Use,Residential Electricity Use,Residential Electricity Use,Total Electricity Use,Price Residential Electricity Use
Meter id,oberlin_barrows_main_e,oberlin_dascomb_res_tot_e,oberlin_fairchild_res_tot_e,oberlin_kahn_main_e,oberlin_price_res_e

Timestamp,Barrows - Electricity Use (kWh),Dascomb - Residential Electricity Use (kWh),Fairchild - Residential Electricity Use (kWh),Kahn - Total Electricity Use (kWh),Price - Price Residential Electricity Use (kWh)
2013-01-01 00:00,2.13534,4.63907,0.3125,17.03113,1.57703
2013-01-01 00:15,2.115,4.59408,0.19625,,1.68963
2013-01-01 00:30,2.27,3.9917,0.23625,,1.81595
2013-01-01 00:45,2.445,3.95421,0.02625,,1.64735
2013-01-01 01:00,2.23,3.62428,0.1575,33.725,1.65473
2013-01-01 01:15,2.185,3.75175,0.0575,,1.44786
2013-01-01 01:30,2.185,3.84923,0.08375,,1.78392
2013-01-01 01:45,2.18,4.20166,0.125,,1.80592
2013-01-01 02:00,2.15,3.86923,0.01875,34.325,1.71622
2013-01-01 02:15,2.175,3.39682,0.205,,1.64652
2013-01-01 02:30,2.06,3.75175,0.0275,,1.45035
2013-01-01 02:45,2.095,3.46681,0.17,,1.78125
2013-01-01 03:00,2.095,3.93171,0.01875,33.7,1.79778
2013-01-01 03:15,2.075,4.83153,0.16375,,1.36064
2013-01-01 03:30,2.075,4.09918,0.02875,,1.74916
2013-01-01 03:45,2.065,4.70656,0.105,,1.67053
2013-01-01 04:00,2.055,3.94421,0.10125,33.8,1.72007
2013-01-01 04:15,2.04,4.20166,0.0375,,1.71625
2013-01-01 04:30,2.055,3.80924,0.21375,,1.80857
2013-01-01 04:45,2.045,4.26915,0.13125,,1.61922
2013-01-01 05:00,2.04,4.07419,0.37,33.95,1.43781
2013-01-01 05:15,2.045,3.62428,0.115,,1.88586
2013-01-01 05:30,2.105,3.83673,0.14,,1.77775
2013-01-01 05:45,2.19,3.5043,0.0725,,1.77473
2013-01-01 06:00,2.165,3.76175,0.06125,33.85,1.43159
2013-01-01 06:15,2.165,4.31164,0.15125,,1.66693
2013-01-01 06:30,2.19,4.0292,0.035,,1.77116
2013-01-01 06:45,2.125,3.9867,0.17375,,1.78995
2013-01-01 07:00,2.16,3.73175,0.02125,32.975,1.78757
2013-01-01 07:15,2.185,3.76925,0.17625,,1.66902
2013-01-01 07:30,2.105,3.60928,0.0175,,1.46458
2013-01-01 07:45,1.9,4.19416,0.06875,,1.86954
2013-01-01 08:00,1.91,4.0142,0.07,31.325,1.62822
2013-01-01 08:15,1.84,3.24185,0.005,,1.10925
2013-01-01 08:30,1.825,3.80424,0.1725,,1.49434
2013-01-01 08:45,1.845,3.20686,0.01375,,1.46188
2013-01-01 09:00,1.795,3.77675,0.28125,31.15,1.71359
2013-01-01 09:15,1.785,4.15417,0.12875,,1.79878
2013-01-01 09:30,1.755,4.67407,0.25875,,1.76844
